ingredient,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g
agathi_leaves_sesbania_grandiflora,70.51,8.01,5.21,1.35,8.6
amaranth_leaves_green_amaranthus_gangeticus,30.59,3.29,2.28,0.65,4.41
amaranth_leaves_red_amaranthus_gangeticus,33.46,3.93,2.37,0.63,4.91
amaranth_leaves_red_and_green_mix_amaranthus_gangeticus,31.55,3.09,2.87,0.53,4.6
amaranth_spined_leaves_green_amaranthus_spinosus,26.29,3.54,1.61,0.36,5.1
amaranth_spined_leaves_red_and_green_mix_amaranthus_spinosus,23.66,2.8,1.45,0.34,5.57
basella_leaves_basella_alba,19.6,1.57,2.01,0.45,2.21
bathua_leaves_chenopodium_album,27.72,2.5,2.56,0.44,4.01
beet_greens_beta_vulgaris,34.66,2.38,3.86,0.75,3.64
betel_leaves_big_kolkata_piper_betle,48.28,2.51,7.37,0.75,2.12
betel_leaves_small_piper_betle,43.74,2.62,6.16,0.75,1.97
brussels_sprouts_brassica_oleracea_var_gemmifera,44.22,4.26,5.09,0.5,4.29
cabbage_chinese_brassica_rupa,17.93,1.58,2.36,0.13,2.01
cabbage_collard_greens_brassica_oleracea_var_viridis,30.11,3.63,2.79,0.27,2.98
cabbage_green_brassica_oleracea_var_capitata_f_alba,21.51,1.36,3.25,0.12,2.76
cabbage_violet_brassica_oleracea_var_capitata_f_rubra,23.18,1.39,3.54,0.21,2.21
cauliflower_leaves_brassica_oleracea_var_botrytis,35.37,3.9,3.39,0.42,3.43
colocasia_leaves_green_colocasia_esculenta,43.5,3.42,3.69,1.38,5.6
drumstick_leaves_moringa_oleifera,67.4,6.41,5.62,1.64,8.21
fenugreek_leaves_trigonella_foenum_graecum,34.42,3.68,2.17,0.83,4.9
garden_cress_lepidium_sativum,49.71,5.62,4.48,0.8,2.6
gogu_leaves_green_hibiscus_cannabinus,36.33,1.86,4.06,1.09,4.59
gogu_leaves_red_hibiscus_cannabinus,36.57,1.85,4.24,1.07,3.89
knolkhol_leaves_brassica_oleracea_var_gongylodes,42.54,3.12,6.16,0.35,2.76
lettuce_lactuca_sativa,21.75,1.54,3.01,0.27,1.79
mustard_leaves_brassica_juncea,30.35,3.52,2.41,0.51,3.92
pak_choi_leaves_brassica_rapa_var_chinensis,16.01,1.41,1.78,0.25,1.91
parsley_petroselinum_crispum,72.9,5.55,9.43,1.14,3.87
ponnaganni_alternanthera_sessilis,50.91,5.29,5.17,0.71,6.74
pumpkin_leaves_tender_cucurbita_maxima,44.22,4.21,4.75,0.74,2.25
radish_leaves_raphanus_sativus,26.05,2.22,2.77,0.51,1.82
rumex_leaves_rumex_patientia,19.6,1.62,2.33,0.33,1.27
spinach_spinacia_oleracea,24.38,2.14,2.05,0.64,2.38
tamarind_leaves_tender_tamarindus_indica,71.46,5.84,10.04,0.49,10.7
ambat_chuka,15,1.6,1.4,0.3,0.6
bengal_gram_leaves,97,7,14.1,1.4,2
bottle_gourd_leaves,39,2.3,6.1,0.7,1.3
broad_bean_leaves,71,5.6,11.5,0.3,3.7
carrot_leaves,77,5.1,13.1,0.5,1.9
celery_leaves,37,6.3,1.6,0.6,1.4
chekkur_manis,103,6.8,11.6,3.2,1.4
colocasia_leaves_dried,277,13.7,42.3,5.9,16
cow_pea_leaves,38,3.4,4.1,0.7,1.2
fetid_cassia_fresh,49,5,5.5,0.8,2.1
fetid_cassia_dried,292,20.7,43.5,3.9,10.4
garden_sorrel_sepals,25,0.6,5.1,0.2,1.3
ipomoea_stems,19,0.9,3.4,0.2,0
ipomoea_leaves,28,2.9,3.1,0.4,1.2
kuppameni,64,6.7,6,1.4,2.3
manathakkali_leaves,68,5.9,8.9,1,0
mayalu,32,2.8,4.2,0.4,0
modakonthan_keerai,61,4.7,9.1,0.6,0
mukarrate_keerai,61,6.1,7.2,0.9,0
nerringi,68,7.2,8.6,0.5,0
paruppu_keerai,27,2.4,2.9,0.6,1.3
rape_stem,29,3.1,4,0.1,0
rape_leaves,48,5.1,5.9,0.4,1.2
rape_leaves_dried,297,27,40.7,2.9,6.7
safflower_leaves,33,2.5,4.5,0.6,0
shepu,37,3,5.2,0.5,1.1
spinach_stalks,20,0.9,3.8,0.1,0
susni_sag,46,3.7,4.6,1.4,1.3
turnip_greens,67,4,9.4,1.5,1
ceylon_pasali,31,1.9,4.3,0.7,0
chimti_sag,46,3.2,6.9,0.7,2.1
giria_sag,26,2,3.6,0.4,0.9
gulcharni,27,1.3,4.3,0.5,1
kasini_keerat,33,1.9,4.6,0.7,0
katha_sag,24,1.9,3,0.5,1.7
kena_sag,22,2.1,2.5,0.4,0.8
khesari_leaves,55,6.1,5.5,1,2.1
koila_karha_sag,36,3,5.2,0.4,1.4
konar_sag,62,3.6,9.7,1,5.5
korla_leaves,67,6.1,9,0.7,0
manal_keerai,22,2.4,2.3,0.4,2.2
mata_sag_lupu,303,7.2,57.8,4.8,13.5
nachukotta_keerai,60,4.3,9.1,0.7,0
neem_leaves_mature,129,7.1,22.9,1,6.2
neem_leaves_tender,158,11.6,21.2,3,2.2
pacharisi_keerai,83,4.7,12.3,1.7,0
panna_keerai,45,3.8,6,0.6,2.3
parwar_sag,55,5.4,5.8,1.1,4.2
pasarai_keerai,42,1.7,7.9,0.4,2.2
patua_sag,63,5.1,8.1,1.1,1.6
potato_leaves,40,4.4,3.6,0.9,1.3
puliara_keerai,60,4.3,7.2,1.5,0
punnaku_keerai,71,6.1,10.1,0.7,0
perandai,37,1.2,7.3,0.3,1.8
saravallai_keerai,24,2,3.2,0.4,0.9
sarli_sag,86,4,14.9,1.1,1.5
seemai_ponnanganni,50,3.3,7.5,0.8,0
sinduar_sag,38,2,5.8,0.7,1.5
sinduar_wild,29,1.1,4.4,0.8,3.7
sonchal_sag,45,4.3,5.6,0.6,1.2
soya_leaves,72,6,10.8,0.5,0
sweet_potato_greens,63,4.2,9.7,0.8,2.4
thooduvalai_keerai,40,3.9,4.6,0.7,2.3
veethi_keerai,90,7.5,13.4,0.7,2.2
velaikeerai,68,6.5,8.8,0.8,0
vella_keerai,73,5.6,8.3,1.9,0
water_cress,33,2.9,4.9,0.2,0.6
broccoli_green_raw,34,4.3,3.2,0.6,4
watercress_raw,10,1.9,0,0.3,1.5
ash_gourd_benincasa_hispida,17.45,0.79,2.84,0.14,3.37
bamboo_shoot_tender_bambusa_vulgaris,16.25,1.33,1.67,0.35,1.55
bean_scarlet_tender_phaseolus_coccineus,42.78,2.86,5.16,0.99,4.5
bitter_gourd_jagged_teeth_ridges_elongate_momordica_charantia,20.79,1.44,2.82,0.24,3.78
bitter_gourd_jagged_teeth_ridges_short_momordica_charantia,18.88,1.34,2.53,0.24,3.49
bitter_gourd_jagged_smooth_ridges_elongate_momordica_charantia,19.36,1.61,2.29,0.26,3.72
bottle_gourd_elongate_pale_green_lagenaria_vulgaris,10.99,0.53,1.68,0.13,2.12
bottle_gourd_round_pale_green_lagenaria_vulgaris,13.62,0.42,2.53,0.12,2.1
bottle_gourd_elongate_dark_green_lagenaria_vulgaris,12.91,0.49,2.25,0.13,2.11
brinjal1_solanum_melongena,27.25,1.77,3.49,0.39,3.57
brinjal2_solanum_melongena,23.66,1.82,2.71,0.34,4.01
brinjal3_solanum_melongena,24.38,1.36,3.38,0.33,4.26
brinjal4_solanum_melongena,23.9,1.51,3.19,0.31,4.04
brinjal5_solanum_melongena,26.53,1.38,4.02,0.29,4.13
brinjal6_solanum_melongena,23.18,1.46,3.29,0.29,3.68
brinjal7_solanum_melongena,23.42,1.4,3.1,0.37,3.32
brinjal8_solanum_melongena,27.96,1.82,3.75,0.33,4.01
brinjal9_solanum_melongena,25.33,1.47,3.52,0.35,4
brinjal10_solanum_melongena,27.72,1.68,4.08,0.25,3.9
brinjal11_solanum_melongena,25.1,1.43,3.53,0.31,4.12
brinjal12_solanum_melongena,22.23,1.6,2.73,0.27,3.89
brinjal13_solanum_melongena,29.64,1.49,4.51,0.31,3.92
brinjal14_solanum_melongena,25.33,1.56,3.27,0.35,3.87
brinjal15_solanum_melongena,27.25,1.58,3.96,0.29,3.99
brinjal16_solanum_melongena,24.62,1.26,3.46,0.34,3.74
brinjal17_solanum_melongena,21.75,1.18,2.89,0.36,3.94
brinjal18_solanum_melongena,27.72,1.47,4.1,0.33,4.38
brinjal19_solanum_melongena,23.9,1.26,3.39,0.31,3.97
brinjal20_solanum_melongena,23.66,1.44,3.15,0.34,3.73
brinjal21_solanum_melongena,27.01,1.36,3.93,0.35,3.85
brinjal_all_varieties_solanum_melongena,25.33,1.48,3.52,0.32,3.98
broad_beans_vicia_faba,29.4,3.85,2.11,0.15,8.63
capsicum_green_capsicum_annuum,16.25,1.11,1.84,0.34,2.06
capsicum_red_capsicum_annuum,19.84,1.47,2.14,0.47,2.19
capsicum_yellow_capsicum_annuum,18.64,1.35,1.95,0.41,2.19
cauliflower_brassica_oleracea_var_botrytis,22.94,2.15,2.03,0.44,3.71
celery_stalk_apium_graveolens,16.49,0.98,2.33,0.24,2.09
chochomarrow_sechium_edule,18.88,0.66,3.47,0.15,1.55
cluster_beans_cyamopsis_tetragonobola,40.15,3.55,4.91,0.37,4.83
colocasia_stem_black_colocasia_esculenta,23.9,0.76,3.83,0.34,3.01
